;Estado;deaths_7d
0;AC;51.62849889670142
1;AL;151.65349671302144
2;AM;1390.1095378128196
3;AP;122.1610271952765
4;BA;330.90992417009807
5;Brazil;14079.328343764886
6;CE;1318.6221792984363
7;DF;62.59773176546471
8;ES;195.3891928998383
9;GO;66.4696521709373
10;MA;510.8013195630021
11;MG;183.67388516036183
12;MS;25.32203085445846
13;MT;26.72174773247254
14;PA;669.256523293339
15;PB;168.98638430796626
16;PE;1552.953761570084
17;PI;55.20448035123354
18;PR;195.6474644371888
19;RJ;2595.8649581215
20;RN;145.34883838897449
21;RO;49.038175200320644
22;RR;26.103555797402482
23;RS;128.47326650318794
24;SC;133.77373848482753
25;SE;36.247468102903696
26;SP;6552.586146238398
27;TO;12.77676297088872
