regiao;estado;municipio;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PE;Glória do Goitá;2020-04-12;1;0;1;0
Nordeste;PE;Glória do Goitá;2020-04-13;1;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-14;1;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-15;2;0;1;0
Nordeste;PE;Glória do Goitá;2020-04-16;2;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-17;2;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-18;2;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-19;2;0;0;0
Nordeste;PE;Glória do Goitá;2020-04-20;3;0;1;0
Nordeste;PE;Glória do Goitá;2020-04-21;3;1;0;1
Nordeste;PE;Glória do Goitá;2020-04-22;4;1;1;0
Nordeste;PE;Glória do Goitá;2020-04-23;6;2;2;1
Nordeste;PE;Glória do Goitá;2020-04-24;8;3;2;1
Nordeste;PE;Glória do Goitá;2020-04-25;8;3;0;0
Nordeste;PE;Glória do Goitá;2020-04-26;9;3;1;0
Nordeste;PE;Glória do Goitá;2020-04-27;9;3;0;0
Nordeste;PE;Glória do Goitá;2020-04-28;9;3;0;0
Nordeste;PE;Glória do Goitá;2020-04-29;11;4;2;1
Nordeste;PE;Glória do Goitá;2020-04-30;14;4;3;0
Nordeste;PE;Glória do Goitá;2020-05-01;15;4;1;0
Nordeste;PE;Glória do Goitá;2020-05-02;17;4;2;0
Nordeste;PE;Glória do Goitá;2020-05-03;17;4;0;0
Nordeste;PE;Glória do Goitá;2020-05-04;17;4;0;0
Nordeste;PE;Glória do Goitá;2020-05-05;18;4;1;0
Nordeste;PE;Glória do Goitá;2020-05-06;18;7;0;3
Nordeste;PE;Glória do Goitá;2020-05-07;20;8;2;1
Nordeste;PE;Glória do Goitá;2020-05-08;21;9;1;1
Nordeste;PE;Glória do Goitá;2020-05-09;23;8;2;-1
Nordeste;PE;Glória do Goitá;2020-05-10;26;10;3;2
Nordeste;PE;Glória do Goitá;2020-05-11;27;10;1;0
Nordeste;PE;Glória do Goitá;2020-05-12;27;10;0;0
Nordeste;PE;Glória do Goitá;2020-05-13;30;10;3;0
Nordeste;PE;Glória do Goitá;2020-05-14;30;10;0;0
Nordeste;PE;Glória do Goitá;2020-05-15;32;10;2;0
Nordeste;PE;Glória do Goitá;2020-05-16;41;10;9;0
Nordeste;PE;Glória do Goitá;2020-05-17;42;10;1;0
Nordeste;PE;Glória do Goitá;2020-05-18;43;10;1;0
Nordeste;PE;Glória do Goitá;2020-05-19;45;10;2;0
Nordeste;PE;Glória do Goitá;2020-05-20;50;11;5;1
Nordeste;PE;Glória do Goitá;2020-05-21;55;12;5;1
Nordeste;PE;Glória do Goitá;2020-05-22;58;12;3;0
Nordeste;PE;Glória do Goitá;2020-05-23;59;13;1;1
Nordeste;PE;Glória do Goitá;2020-05-24;61;13;2;0
Nordeste;PE;Glória do Goitá;2020-05-25;61;13;0;0
Nordeste;PE;Glória do Goitá;2020-05-26;64;13;3;0
Nordeste;PE;Glória do Goitá;2020-05-27;67;13;3;0
Nordeste;PE;Glória do Goitá;2020-05-28;70;13;3;0
Nordeste;PE;Glória do Goitá;2020-05-29;72;13;2;0
Nordeste;PE;Glória do Goitá;2020-05-30;77;14;5;1
Nordeste;PE;Glória do Goitá;2020-05-31;77;16;0;2
Nordeste;PE;Glória do Goitá;2020-06-01;77;16;0;0
